9, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, exit]
2, [e-gb, e-bg]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

18, [pt_0.0, pt_1.0, po_0.0_0, po_0.0_1, po_0.0_2, po_0.1_0, po_0.1_1, po_0.1_2, po_1.0_0, po_1.0_1, po_1.0_2, po_1.1_0, po_1.1_1, po_1.1_2, r_0.0, r_0.1, r_1.0, r_1.1]
[1, 0, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, -10, 10, -10, -10]
[0, 1, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, -10, -10, -10, 10]

# Transition function (s,a,s -> p)
0,0,4 -> 1
0,1,0 -> 1
0,2,2 -> 1
0,3,0 -> 1
1,0,5 -> 1
1,1,1 -> 1
1,2,3 -> 1
1,3,1 -> 1
0,5,0 -> 1
1,5,1 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,0,6 -> 1
2,1,2 -> 1
2,2,8 -> 1
2,3,0 -> 1
3,0,7 -> 1
3,1,3 -> 1
3,2,8 -> 1
3,3,1 -> 1
2,4,2 -> 1
3,4,2 -> pt_0.0
3,4,3 -> 1-pt_0.0
2,5,2 -> 1
3,5,3 -> 1
2,6,2 -> 1
3,6,3 -> 1
4,0,4 -> 1
4,1,0 -> 1
4,2,6 -> 1
4,3,4 -> 1
5,0,5 -> 1
5,1,1 -> 1
5,2,7 -> 1
5,3,5 -> 1
4,4,4 -> 1
5,4,4 -> pt_1.0
5,4,5 -> 1-pt_1.0
4,5,4 -> 1
5,5,5 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,0,6 -> 1
6,1,2 -> 1
6,2,8 -> 1
6,3,4 -> 1
7,0,7 -> 1
7,1,3 -> 1
7,2,8 -> 1
7,3,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
6,6,6 -> 1
7,6,7 -> 1
8,_,8 -> 1

# Observation function (a,s,o -> p)
0,0,2 -> 1
0,1,2 -> 1
0,2,2 -> 1
0,3,2 -> 1
0,4,2 -> 1
0,5,2 -> 1
0,6,2 -> 1
0,7,2 -> 1
1,0,2 -> 1
1,1,2 -> 1
1,2,2 -> 1
1,3,2 -> 1
1,4,2 -> 1
1,5,2 -> 1
1,6,2 -> 1
1,7,2 -> 1
2,0,2 -> 1
2,1,2 -> 1
2,2,2 -> 1
2,3,2 -> 1
2,4,2 -> 1
2,5,2 -> 1
2,6,2 -> 1
2,7,2 -> 1
3,0,2 -> 1
3,1,2 -> 1
3,2,2 -> 1
3,3,2 -> 1
3,4,2 -> 1
3,5,2 -> 1
3,6,2 -> 1
3,7,2 -> 1
4,0,2 -> 1
4,1,2 -> 1
4,2,2 -> 1
4,3,2 -> 1
4,4,2 -> 1
4,5,2 -> 1
4,6,2 -> 1
4,7,2 -> 1
5,0,1 -> po_0.0_0
5,0,0 -> 1-po_0.0_0
5,1,1 -> po_0.1_0
5,1,0 -> 1-po_0.1_0
5,2,1 -> po_0.0_1
5,2,0 -> 1-po_0.0_1
5,3,1 -> po_0.1_1
5,3,0 -> 1-po_0.1_1
5,4,1 -> po_0.0_2
5,4,0 -> 1-po_0.0_2
5,5,1 -> po_0.1_2
5,5,0 -> 1-po_0.1_2
5,6,1 -> po_0.0_0
5,6,0 -> 1-po_0.0_0
5,7,1 -> po_0.1_0
5,7,0 -> 1-po_0.1_0
6,0,1 -> po_1.0_0
6,0,0 -> 1-po_1.0_0
6,1,1 -> po_1.1_0
6,1,0 -> 1-po_1.1_0
6,2,1 -> po_1.0_2
6,2,0 -> 1-po_1.0_2
6,3,1 -> po_1.1_2
6,3,0 -> 1-po_1.1_2
6,4,1 -> po_1.0_1
6,4,0 -> 1-po_1.0_1
6,5,1 -> po_1.1_1
6,5,0 -> 1-po_1.1_1
6,6,1 -> po_1.0_0
6,6,0 -> 1-po_1.0_0
6,7,1 -> po_1.1_0
6,7,0 -> 1-po_1.1_0
_,8,2 -> 1

# Reward function (s,a -> r)
2,4 -> r_0.0
3,4 -> r_0.1
2,2 -> 10
3,2 -> 10
4,4 -> r_1.0
5,4 -> r_1.1
6,2 -> 10
7,2 -> 10

# Initial beliefs (s -> p)
1 -> 1
