51, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s0.4-b, s0.4-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s1.4-b, s1.4-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s2.4-b, s2.4-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, s3.4-b, s3.4-g, s4.0-b, s4.0-g, s4.1-b, s4.1-g, s4.2-b, s4.2-g, s4.3-b, s4.3-g, s4.4-b, s4.4-g, exit]
2, [e-gb, e-bg]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

66, [pt_0.0, pt_1.0, po_0.0_0, po_0.0_1, po_0.0_2, po_0.0_3, po_0.0_4, po_0.0_5, po_0.0_6, po_0.0_7, po_0.0_8, po_0.0_9, po_0.0_10, po_0.0_11, po_0.0_12, po_0.0_13, po_0.0_14, po_0.1_0, po_0.1_1, po_0.1_2, po_0.1_3, po_0.1_4, po_0.1_5, po_0.1_6, po_0.1_7, po_0.1_8, po_0.1_9, po_0.1_10, po_0.1_11, po_0.1_12, po_0.1_13, po_0.1_14, po_1.0_0, po_1.0_1, po_1.0_2, po_1.0_3, po_1.0_4, po_1.0_5, po_1.0_6, po_1.0_7, po_1.0_8, po_1.0_9, po_1.0_10, po_1.0_11, po_1.0_12, po_1.0_13, po_1.0_14, po_1.1_0, po_1.1_1, po_1.1_2, po_1.1_3, po_1.1_4, po_1.1_5, po_1.1_6, po_1.1_7, po_1.1_8, po_1.1_9, po_1.1_10, po_1.1_11, po_1.1_12, po_1.1_13, po_1.1_14, r_0.0, r_0.1, r_1.0, r_1.1]
[1, 0, 0.375, 0.323224, 0.25, 0.146446, 0.0, 0.380221, 0.332891, 0.26964, 0.193727, 0.393868, 0.356688, 0.312393, 0.411612, 0.385082, 0.429607, 0.625, 0.676776, 0.75, 0.853554, 1.0, 0.619779, 0.667109, 0.73036, 0.806274, 0.606132, 0.643312, 0.687607, 0.588388, 0.614918, 0.570393, 0.375, 0.323224, 0.25, 0.146446, 0.0, 0.380221, 0.332891, 0.26964, 0.193727, 0.393868, 0.356688, 0.312393, 0.411612, 0.385082, 0.429607, 0.375, 0.323224, 0.25, 0.146446, 0.0, 0.380221, 0.332891, 0.26964, 0.193727, 0.393868, 0.356688, 0.312393, 0.411612, 0.385082, 0.429607, -10, 10, -10, -10]
[0, 1, 0.375, 0.323224, 0.25, 0.146446, 0.0, 0.380221, 0.332891, 0.26964, 0.193727, 0.393868, 0.356688, 0.312393, 0.411612, 0.385082, 0.429607, 0.375, 0.323224, 0.25, 0.146446, 0.0, 0.380221, 0.332891, 0.26964, 0.193727, 0.393868, 0.356688, 0.312393, 0.411612, 0.385082, 0.429607, 0.375, 0.323224, 0.25, 0.146446, 0.0, 0.380221, 0.332891, 0.26964, 0.193727, 0.393868, 0.356688, 0.312393, 0.411612, 0.385082, 0.429607, 0.625, 0.676776, 0.75, 0.853554, 1.0, 0.619779, 0.667109, 0.73036, 0.806274, 0.606132, 0.643312, 0.687607, 0.588388, 0.614918, 0.570393, -10, -10, -10, 10]

# Transition function (s,a,s -> p)
0,0,10 -> 1
0,1,0 -> 1
