99, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s0.4-b, s0.4-g, s0.5-b, s0.5-g, s0.6-b, s0.6-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s1.4-b, s1.4-g, s1.5-b, s1.5-g, s1.6-b, s1.6-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s2.4-b, s2.4-g, s2.5-b, s2.5-g, s2.6-b, s2.6-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, s3.4-b, s3.4-g, s3.5-b, s3.5-g, s3.6-b, s3.6-g, s4.0-b, s4.0-g, s4.1-b, s4.1-g, s4.2-b, s4.2-g, s4.3-b, s4.3-g, s4.4-b, s4.4-g, s4.5-b, s4.5-g, s4.6-b, s4.6-g, s5.0-b, s5.0-g, s5.1-b, s5.1-g, s5.2-b, s5.2-g, s5.3-b, s5.3-g, s5.4-b, s5.4-g, s5.5-b, s5.5-g, s5.6-b, s5.6-g, s6.0-b, s6.0-g, s6.1-b, s6.1-g, s6.2-b, s6.2-g, s6.3-b, s6.3-g, s6.4-b, s6.4-g, s6.5-b, s6.5-g, s6.6-b, s6.6-g, exit]
2, [e-gb, e-bg]
7, [North, South, East, West, Sample, Check0, Check1]
3, [Bad, Good, Nothing]

110, [pt_0.0, pt_1.0, po_0.0_0, po_0.0_1, po_0.0_2, po_0.0_3, po_0.0_4, po_0.0_5, po_0.0_6, po_0.0_7, po_0.0_8, po_0.0_9, po_0.0_10, po_0.0_11, po_0.0_12, po_0.0_13, po_0.0_14, po_0.0_15, po_0.0_16, po_0.0_17, po_0.0_18, po_0.0_19, po_0.0_20, po_0.0_21, po_0.0_22, po_0.0_23, po_0.0_24, po_0.0_25, po_0.1_0, po_0.1_1, po_0.1_2, po_0.1_3, po_0.1_4, po_0.1_5, po_0.1_6, po_0.1_7, po_0.1_8, po_0.1_9, po_0.1_10, po_0.1_11, po_0.1_12, po_0.1_13, po_0.1_14, po_0.1_15, po_0.1_16, po_0.1_17, po_0.1_18, po_0.1_19, po_0.1_20, po_0.1_21, po_0.1_22, po_0.1_23, po_0.1_24, po_0.1_25, po_1.0_0, po_1.0_1, po_1.0_2, po_1.0_3, po_1.0_4, po_1.0_5, po_1.0_6, po_1.0_7, po_1.0_8, po_1.0_9, po_1.0_10, po_1.0_11, po_1.0_12, po_1.0_13, po_1.0_14, po_1.0_15, po_1.0_16, po_1.0_17, po_1.0_18, po_1.0_19, po_1.0_20, po_1.0_21, po_1.0_22, po_1.0_23, po_1.0_24, po_1.0_25, po_1.1_0, po_1.1_1, po_1.1_2, po_1.1_3, po_1.1_4, po_1.1_5, po_1.1_6, po_1.1_7, po_1.1_8, po_1.1_9, po_1.1_10, po_1.1_11, po_1.1_12, po_1.1_13, po_1.1_14, po_1.1_15, po_1.1_16, po_1.1_17, po_1.1_18, po_1.1_19, po_1.1_20, po_1.1_21, po_1.1_22, po_1.1_23, po_1.1_24, po_1.1_25, r_0.0, r_0.1, r_1.0, r_1.1]
[1, 0, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.34251, 0.139369, 0.201739, 0.2592, 0.30714, 0.346072, 0.23989, 0.282642, 0.322082, 0.355919, 0.312393, 0.370021, 0.364686, 0.386117, 0.402403, 0.377367, 0.375, 0.38403, 0.393868, 0.40551, 0.417726, 0.89685, 1.0, 0.81498, 0.75, 0.698425, 0.65749, 0.860631, 0.79826, 0.7408, 0.69286, 0.653928, 0.76011, 0.717358, 0.677918, 0.64408, 0.687607, 0.629979, 0.635314, 0.613883, 0.597597, 0.622632, 0.625, 0.61597, 0.606132, 0.59449, 0.582274, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.34251, 0.139369, 0.201739, 0.2592, 0.30714, 0.346072, 0.23989, 0.282642, 0.322082, 0.355919, 0.312393, 0.370021, 0.364686, 0.386117, 0.402403, 0.377367, 0.375, 0.38403, 0.393868, 0.40551, 0.417726, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.34251, 0.139369, 0.201739, 0.2592, 0.30714, 0.346072, 0.23989, 0.282642, 0.322082, 0.355919, 0.312393, 0.370021, 0.364686, 0.386117, 0.402403, 0.377367, 0.375, 0.38403, 0.393868, 0.40551, 0.417726, -10, 10, -10, -10]
[0, 1, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.34251, 0.139369, 0.201739, 0.2592, 0.30714, 0.346072, 0.23989, 0.282642, 0.322082, 0.355919, 0.312393, 0.370021, 0.364686, 0.386117, 0.402403, 0.377367, 0.375, 0.38403, 0.393868, 0.40551, 0.417726, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.34251, 0.139369, 0.201739, 0.2592, 0.30714, 0.346072, 0.23989, 0.282642, 0.322082, 0.355919, 0.312393, 0.370021, 0.364686, 0.386117, 0.402403, 0.377367, 0.375, 0.38403, 0.393868, 0.40551, 0.417726, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.34251, 0.139369, 0.201739, 0.2592, 0.30714, 0.346072, 0.23989, 0.282642, 0.322082, 0.355919, 0.312393, 0.370021, 0.364686, 0.386117, 0.402403, 0.377367, 0.375, 0.38403, 0.393868, 0.40551, 0.417726, 0.89685, 1.0, 0.81498, 0.75, 0.698425, 0.65749, 0.860631, 0.79826, 0.7408, 0.69286, 0.653928, 0.76011, 0.717358, 0.677918, 0.64408, 0.687607, 0.629979, 0.635314, 0.613883, 0.597597, 0.622632, 0.625, 0.61597, 0.606132, 0.59449, 0.582274, -10, -10, -10, 10]

# Transition function (s,a,s -> p)
0,0,14 -> 1
0,1,0 -> 1
