37, [s0.0-b.b, s0.0-b.g, s0.0-g.b, s0.0-g.g, s0.1-b.b, s0.1-b.g, s0.1-g.b, s0.1-g.g, s0.2-b.b, s0.2-b.g, s0.2-g.b, s0.2-g.g, s1.0-b.b, s1.0-b.g, s1.0-g.b, s1.0-g.g, s1.1-b.b, s1.1-b.g, s1.1-g.b, s1.1-g.g, s1.2-b.b, s1.2-b.g, s1.2-g.b, s1.2-g.g, s2.0-b.b, s2.0-b.g, s2.0-g.b, s2.0-g.g, s2.1-b.b, s2.1-b.g, s2.1-g.b, s2.1-g.g, s2.2-b.b, s2.2-b.g, s2.2-g.b, s2.2-g.g, exit]
3, [e-ggb, e-gbg, e-bgg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

90, [pt_0.0, pt_0.1, pt_1.0, pt_1.1, pt_2.0, pt_2.1, po_0.00_0, po_0.00_1, po_0.00_2, po_0.00_3, po_0.00_4, po_0.00_5, po_0.01_0, po_0.01_1, po_0.01_2, po_0.01_3, po_0.01_4, po_0.01_5, po_0.10_0, po_0.10_1, po_0.10_2, po_0.10_3, po_0.10_4, po_0.10_5, po_0.11_0, po_0.11_1, po_0.11_2, po_0.11_3, po_0.11_4, po_0.11_5, po_1.00_0, po_1.00_1, po_1.00_2, po_1.00_3, po_1.00_4, po_1.00_5, po_1.01_0, po_1.01_1, po_1.01_2, po_1.01_3, po_1.01_4, po_1.01_5, po_1.10_0, po_1.10_1, po_1.10_2, po_1.10_3, po_1.10_4, po_1.10_5, po_1.11_0, po_1.11_1, po_1.11_2, po_1.11_3, po_1.11_4, po_1.11_5, po_2.00_0, po_2.00_1, po_2.00_2, po_2.00_3, po_2.00_4, po_2.00_5, po_2.01_0, po_2.01_1, po_2.01_2, po_2.01_3, po_2.01_4, po_2.01_5, po_2.10_0, po_2.10_1, po_2.10_2, po_2.10_3, po_2.10_4, po_2.10_5, po_2.11_0, po_2.11_1, po_2.11_2, po_2.11_3, po_2.11_4, po_2.11_5, r_0.00, r_0.01, r_0.10, r_0.11, r_1.00, r_1.01, r_1.10, r_1.11, r_2.00, r_2.01, r_2.10, r_2.11]
[1, 0, 0, 1, 0, 0, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, -10, -10, 10, 10, -10, 10, -10, 10, -10, -10, -10, -10]
[1, 0, 0, 0, 0, 1, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, -10, -10, 10, 10, -10, -10, -10, -10, -10, 10, -10, 10]
[0, 0, 1, 0, 0, 1, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, 0.25, 0.0, 0.312393, 0.393868, 0.375, 0.429607, 0.75, 1.0, 0.687607, 0.606132, 0.625, 0.570393, -10, -10, -10, -10, -10, -10, 10, 10, -10, 10, -10, 10]

# Transition function (s,a,s -> p)
0,0,12 -> 1
0,1,0 -> 1
0,2,4 -> 1
0,3,0 -> 1
1,0,13 -> 1
1,1,1 -> 1
1,2,5 -> 1
1,3,1 -> 1
2,0,14 -> 1
2,1,2 -> 1
2,2,6 -> 1
2,3,2 -> 1
3,0,15 -> 1
3,1,3 -> 1
3,2,7 -> 1
3,3,3 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,6,3 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,0,16 -> 1
4,1,4 -> 1
4,2,8 -> 1
4,3,0 -> 1
5,0,17 -> 1
5,1,5 -> 1
5,2,9 -> 1
5,3,1 -> 1
6,0,18 -> 1
6,1,6 -> 1
6,2,10 -> 1
6,3,2 -> 1
7,0,19 -> 1
7,1,7 -> 1
7,2,11 -> 1
7,3,3 -> 1
4,4,4 -> 1
5,4,4 -> pt_0.1
5,4,5 -> 1-pt_0.1
6,4,4 -> pt_0.0
6,4,6 -> 1-pt_0.0
7,4,5 -> pt_0.0
7,4,4 -> pt_0.1
7,4,7 -> 1-pt_0.0-pt_0.1
4,5,4 -> 1
5,5,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,6,6 -> 1
7,6,7 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,0,20 -> 1
8,1,8 -> 1
8,2,36 -> 1
8,3,4 -> 1
9,0,21 -> 1
9,1,9 -> 1
9,2,36 -> 1
9,3,5 -> 1
10,0,22 -> 1
10,1,10 -> 1
10,2,36 -> 1
10,3,6 -> 1
11,0,23 -> 1
11,1,11 -> 1
11,2,36 -> 1
11,3,7 -> 1
8,4,8 -> 1
9,4,8 -> pt_1.1
9,4,9 -> 1-pt_1.1
10,4,8 -> pt_1.0
10,4,10 -> 1-pt_1.0
11,4,9 -> pt_1.0
11,4,8 -> pt_1.1
11,4,11 -> 1-pt_1.0-pt_1.1
8,5,8 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,0,24 -> 1
12,1,0 -> 1
12,2,16 -> 1
12,3,12 -> 1
13,0,25 -> 1
13,1,1 -> 1
13,2,17 -> 1
13,3,13 -> 1
14,0,26 -> 1
14,1,2 -> 1
14,2,18 -> 1
14,3,14 -> 1
15,0,27 -> 1
15,1,3 -> 1
15,2,19 -> 1
15,3,15 -> 1
12,5,12 -> 1
13,5,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,6,14 -> 1
15,6,15 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,7,14 -> 1
15,7,15 -> 1
16,0,28 -> 1
16,1,4 -> 1
16,2,20 -> 1
16,3,12 -> 1
17,0,29 -> 1
17,1,5 -> 1
17,2,21 -> 1
17,3,13 -> 1
18,0,30 -> 1
18,1,6 -> 1
18,2,22 -> 1
18,3,14 -> 1
19,0,31 -> 1
19,1,7 -> 1
19,2,23 -> 1
19,3,15 -> 1
16,4,16 -> 1
17,4,16 -> pt_2.1
17,4,17 -> 1-pt_2.1
18,4,16 -> pt_2.0
18,4,18 -> 1-pt_2.0
19,4,17 -> pt_2.0
19,4,16 -> pt_2.1
19,4,19 -> 1-pt_2.0-pt_2.1
16,5,16 -> 1
17,5,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,6,18 -> 1
19,6,19 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,0,32 -> 1
20,1,8 -> 1
20,2,36 -> 1
20,3,16 -> 1
21,0,33 -> 1
21,1,9 -> 1
21,2,36 -> 1
21,3,17 -> 1
22,0,34 -> 1
22,1,10 -> 1
22,2,36 -> 1
22,3,18 -> 1
23,0,35 -> 1
23,1,11 -> 1
23,2,36 -> 1
23,3,19 -> 1
20,5,20 -> 1
21,5,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
20,6,20 -> 1
21,6,21 -> 1
22,6,22 -> 1
23,6,23 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,7,22 -> 1
23,7,23 -> 1
24,0,24 -> 1
24,1,12 -> 1
24,2,28 -> 1
24,3,24 -> 1
25,0,25 -> 1
25,1,13 -> 1
25,2,29 -> 1
25,3,25 -> 1
26,0,26 -> 1
26,1,14 -> 1
26,2,30 -> 1
26,3,26 -> 1
27,0,27 -> 1
27,1,15 -> 1
27,2,31 -> 1
27,3,27 -> 1
24,5,24 -> 1
25,5,25 -> 1
26,5,26 -> 1
