73, [s0.0-b.b.b, s0.0-b.b.g, s0.0-b.g.b, s0.0-b.g.g, s0.0-g.b.b, s0.0-g.b.g, s0.0-g.g.b, s0.0-g.g.g, s0.1-b.b.b, s0.1-b.b.g, s0.1-b.g.b, s0.1-b.g.g, s0.1-g.b.b, s0.1-g.b.g, s0.1-g.g.b, s0.1-g.g.g, s0.2-b.b.b, s0.2-b.b.g, s0.2-b.g.b, s0.2-b.g.g, s0.2-g.b.b, s0.2-g.b.g, s0.2-g.g.b, s0.2-g.g.g, s1.0-b.b.b, s1.0-b.b.g, s1.0-b.g.b, s1.0-b.g.g, s1.0-g.b.b, s1.0-g.b.g, s1.0-g.g.b, s1.0-g.g.g, s1.1-b.b.b, s1.1-b.b.g, s1.1-b.g.b, s1.1-b.g.g, s1.1-g.b.b, s1.1-g.b.g, s1.1-g.g.b, s1.1-g.g.g, s1.2-b.b.b, s1.2-b.b.g, s1.2-b.g.b, s1.2-b.g.g, s1.2-g.b.b, s1.2-g.b.g, s1.2-g.g.b, s1.2-g.g.g, s2.0-b.b.b, s2.0-b.b.g, s2.0-b.g.b, s2.0-b.g.g, s2.0-g.b.b, s2.0-g.b.g, s2.0-g.g.b, s2.0-g.g.g, s2.1-b.b.b, s2.1-b.b.g, s2.1-b.g.b, s2.1-b.g.g, s2.1-g.b.b, s2.1-g.b.g, s2.1-g.g.b, s2.1-g.g.g, s2.2-b.b.b, s2.2-b.b.g, s2.2-b.g.b, s2.2-b.g.g, s2.2-g.b.b, s2.2-g.b.g, s2.2-g.g.b, s2.2-g.g.g, exit]
1, [e1]
9, [North, South, East, West, Sample, Check0, Check1, Check2, Check3]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,24 -> 1
0,1,0 -> 1
0,2,8 -> 1
0,3,0 -> 1
1,0,25 -> 1
1,1,1 -> 1
1,2,9 -> 1
1,3,1 -> 1
2,0,26 -> 1
2,1,2 -> 1
2,2,10 -> 1
2,3,2 -> 1
3,0,27 -> 1
3,1,3 -> 1
3,2,11 -> 1
3,3,3 -> 1
4,0,28 -> 1
4,1,4 -> 1
4,2,12 -> 1
4,3,4 -> 1
5,0,29 -> 1
5,1,5 -> 1
5,2,13 -> 1
5,3,5 -> 1
6,0,30 -> 1
6,1,6 -> 1
6,2,14 -> 1
6,3,6 -> 1
7,0,31 -> 1
7,1,7 -> 1
7,2,15 -> 1
7,3,7 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,6,3 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,6,6 -> 1
7,6,7 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,7,6 -> 1
7,7,7 -> 1
0,8,0 -> 1
1,8,1 -> 1
2,8,2 -> 1
3,8,3 -> 1
4,8,4 -> 1
5,8,5 -> 1
6,8,6 -> 1
7,8,7 -> 1
8,0,32 -> 1
8,1,8 -> 1
8,2,16 -> 1
8,3,0 -> 1
9,0,33 -> 1
9,1,9 -> 1
9,2,17 -> 1
9,3,1 -> 1
10,0,34 -> 1
10,1,10 -> 1
10,2,18 -> 1
10,3,2 -> 1
11,0,35 -> 1
11,1,11 -> 1
11,2,19 -> 1
11,3,3 -> 1
12,0,36 -> 1
12,1,12 -> 1
12,2,20 -> 1
12,3,4 -> 1
13,0,37 -> 1
13,1,13 -> 1
13,2,21 -> 1
13,3,5 -> 1
14,0,38 -> 1
14,1,14 -> 1
14,2,22 -> 1
14,3,6 -> 1
15,0,39 -> 1
15,1,15 -> 1
15,2,23 -> 1
15,3,7 -> 1
8,5,8 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
12,5,12 -> 1
13,5,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,6,14 -> 1
15,6,15 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,7,14 -> 1
15,7,15 -> 1
8,8,8 -> 1
9,8,9 -> 1
10,8,10 -> 1
11,8,11 -> 1
12,8,12 -> 1
13,8,13 -> 1
14,8,14 -> 1
15,8,15 -> 1
