33, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, exit]
1, [e1]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,8 -> 1
0,1,0 -> 1
0,2,2 -> 1
0,3,0 -> 1
1,0,9 -> 1
1,1,1 -> 1
1,2,3 -> 1
1,3,1 -> 1
0,5,0 -> 1
1,5,1 -> 1
0,6,0 -> 1
1,6,1 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,0,10 -> 1
2,1,2 -> 1
2,2,4 -> 1
2,3,0 -> 1
3,0,11 -> 1
3,1,3 -> 1
3,2,5 -> 1
3,3,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
2,6,2 -> 1
3,6,3 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,0,12 -> 1
4,1,4 -> 1
4,2,6 -> 1
4,3,2 -> 1
5,0,13 -> 1
5,1,5 -> 1
5,2,7 -> 1
5,3,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
4,6,4 -> 1
5,6,5 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,0,14 -> 1
6,1,6 -> 1
6,2,32 -> 1
6,3,4 -> 1
7,0,15 -> 1
7,1,7 -> 1
7,2,32 -> 1
7,3,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
6,6,6 -> 1
7,6,7 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,0,16 -> 1
8,1,0 -> 1
8,2,10 -> 1
8,3,8 -> 1
9,0,17 -> 1
9,1,1 -> 1
9,2,11 -> 1
9,3,9 -> 1
