65, [s0.0-b.b, s0.0-b.g, s0.0-g.b, s0.0-g.g, s0.1-b.b, s0.1-b.g, s0.1-g.b, s0.1-g.g, s0.2-b.b, s0.2-b.g, s0.2-g.b, s0.2-g.g, s0.3-b.b, s0.3-b.g, s0.3-g.b, s0.3-g.g, s1.0-b.b, s1.0-b.g, s1.0-g.b, s1.0-g.g, s1.1-b.b, s1.1-b.g, s1.1-g.b, s1.1-g.g, s1.2-b.b, s1.2-b.g, s1.2-g.b, s1.2-g.g, s1.3-b.b, s1.3-b.g, s1.3-g.b, s1.3-g.g, s2.0-b.b, s2.0-b.g, s2.0-g.b, s2.0-g.g, s2.1-b.b, s2.1-b.g, s2.1-g.b, s2.1-g.g, s2.2-b.b, s2.2-b.g, s2.2-g.b, s2.2-g.g, s2.3-b.b, s2.3-b.g, s2.3-g.b, s2.3-g.g, s3.0-b.b, s3.0-b.g, s3.0-g.b, s3.0-g.g, s3.1-b.b, s3.1-b.g, s3.1-g.b, s3.1-g.g, s3.2-b.b, s3.2-b.g, s3.2-g.b, s3.2-g.g, s3.3-b.b, s3.3-b.g, s3.3-g.b, s3.3-g.g, exit]
3, [e-ggb, e-gbg, e-bgg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

126, [pt_0.0, pt_0.1, pt_1.0, pt_1.1, pt_2.0, pt_2.1, po_0.00_0, po_0.00_1, po_0.00_2, po_0.00_3, po_0.00_4, po_0.00_5, po_0.00_6, po_0.00_7, po_0.00_8, po_0.01_0, po_0.01_1, po_0.01_2, po_0.01_3, po_0.01_4, po_0.01_5, po_0.01_6, po_0.01_7, po_0.01_8, po_0.10_0, po_0.10_1, po_0.10_2, po_0.10_3, po_0.10_4, po_0.10_5, po_0.10_6, po_0.10_7, po_0.10_8, po_0.11_0, po_0.11_1, po_0.11_2, po_0.11_3, po_0.11_4, po_0.11_5, po_0.11_6, po_0.11_7, po_0.11_8, po_1.00_0, po_1.00_1, po_1.00_2, po_1.00_3, po_1.00_4, po_1.00_5, po_1.00_6, po_1.00_7, po_1.00_8, po_1.01_0, po_1.01_1, po_1.01_2, po_1.01_3, po_1.01_4, po_1.01_5, po_1.01_6, po_1.01_7, po_1.01_8, po_1.10_0, po_1.10_1, po_1.10_2, po_1.10_3, po_1.10_4, po_1.10_5, po_1.10_6, po_1.10_7, po_1.10_8, po_1.11_0, po_1.11_1, po_1.11_2, po_1.11_3, po_1.11_4, po_1.11_5, po_1.11_6, po_1.11_7, po_1.11_8, po_2.00_0, po_2.00_1, po_2.00_2, po_2.00_3, po_2.00_4, po_2.00_5, po_2.00_6, po_2.00_7, po_2.00_8, po_2.01_0, po_2.01_1, po_2.01_2, po_2.01_3, po_2.01_4, po_2.01_5, po_2.01_6, po_2.01_7, po_2.01_8, po_2.10_0, po_2.10_1, po_2.10_2, po_2.10_3, po_2.10_4, po_2.10_5, po_2.10_6, po_2.10_7, po_2.10_8, po_2.11_0, po_2.11_1, po_2.11_2, po_2.11_3, po_2.11_4, po_2.11_5, po_2.11_6, po_2.11_7, po_2.11_8, r_0.00, r_0.01, r_0.10, r_0.11, r_1.00, r_1.01, r_1.10, r_1.11, r_2.00, r_2.01, r_2.10, r_2.11]
[1, 0, 0, 1, 0, 0, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, -10, -10, 10, 10, -10, 10, -10, 10, -10, -10, -10, -10]
[1, 0, 0, 0, 0, 1, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, -10, -10, 10, 10, -10, -10, -10, -10, -10, 10, -10, 10]
[0, 0, 1, 0, 0, 1, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, 0.193727, 0.146446, 0.26964, 0.0, 0.25, 0.312393, 0.356688, 0.332891, 0.323224, 0.806274, 0.853554, 0.73036, 1.0, 0.75, 0.687607, 0.643312, 0.667109, 0.676776, -10, -10, -10, -10, -10, -10, 10, 10, -10, 10, -10, 10]

# Transition function (s,a,s -> p)
0,0,16 -> 1
0,1,0 -> 1
0,2,4 -> 1
0,3,0 -> 1
1,0,17 -> 1
1,1,1 -> 1
1,2,5 -> 1
1,3,1 -> 1
2,0,18 -> 1
2,1,2 -> 1
2,2,6 -> 1
2,3,2 -> 1
3,0,19 -> 1
3,1,3 -> 1
3,2,7 -> 1
3,3,3 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,6,3 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,0,20 -> 1
4,1,4 -> 1
4,2,8 -> 1
4,3,0 -> 1
5,0,21 -> 1
5,1,5 -> 1
5,2,9 -> 1
5,3,1 -> 1
6,0,22 -> 1
6,1,6 -> 1
6,2,10 -> 1
6,3,2 -> 1
7,0,23 -> 1
7,1,7 -> 1
7,2,11 -> 1
7,3,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,6,6 -> 1
7,6,7 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,0,24 -> 1
8,1,8 -> 1
8,2,12 -> 1
8,3,4 -> 1
9,0,25 -> 1
9,1,9 -> 1
9,2,13 -> 1
9,3,5 -> 1
10,0,26 -> 1
10,1,10 -> 1
10,2,14 -> 1
10,3,6 -> 1
11,0,27 -> 1
11,1,11 -> 1
11,2,15 -> 1
11,3,7 -> 1
8,5,8 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,0,28 -> 1
12,1,12 -> 1
12,2,64 -> 1
12,3,8 -> 1
13,0,29 -> 1
13,1,13 -> 1
13,2,64 -> 1
13,3,9 -> 1
14,0,30 -> 1
14,1,14 -> 1
14,2,64 -> 1
14,3,10 -> 1
15,0,31 -> 1
15,1,15 -> 1
15,2,64 -> 1
15,3,11 -> 1
12,5,12 -> 1
13,5,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
12,6,12 -> 1
13,6,13 -> 1
14,6,14 -> 1
15,6,15 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,7,14 -> 1
15,7,15 -> 1
16,0,32 -> 1
16,1,0 -> 1
16,2,20 -> 1
16,3,16 -> 1
17,0,33 -> 1
17,1,1 -> 1
17,2,21 -> 1
17,3,17 -> 1
18,0,34 -> 1
18,1,2 -> 1
18,2,22 -> 1
18,3,18 -> 1
19,0,35 -> 1
19,1,3 -> 1
19,2,23 -> 1
19,3,19 -> 1
16,5,16 -> 1
17,5,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
16,6,16 -> 1
17,6,17 -> 1
18,6,18 -> 1
19,6,19 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,0,36 -> 1
20,1,4 -> 1
20,2,24 -> 1
20,3,16 -> 1
21,0,37 -> 1
21,1,5 -> 1
21,2,25 -> 1
21,3,17 -> 1
22,0,38 -> 1
22,1,6 -> 1
22,2,26 -> 1
22,3,18 -> 1
23,0,39 -> 1
23,1,7 -> 1
23,2,27 -> 1
23,3,19 -> 1
20,4,20 -> 1
21,4,20 -> pt_0.1
21,4,21 -> 1-pt_0.1
22,4,20 -> pt_0.0
22,4,22 -> 1-pt_0.0
23,4,21 -> pt_0.0
23,4,20 -> pt_0.1
23,4,23 -> 1-pt_0.0-pt_0.1
20,5,20 -> 1
21,5,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
20,6,20 -> 1
21,6,21 -> 1
22,6,22 -> 1
23,6,23 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,7,22 -> 1
23,7,23 -> 1
24,0,40 -> 1
24,1,8 -> 1
24,2,28 -> 1
24,3,20 -> 1
25,0,41 -> 1
25,1,9 -> 1
25,2,29 -> 1
25,3,21 -> 1
26,0,42 -> 1
26,1,10 -> 1
26,2,30 -> 1
26,3,22 -> 1
27,0,43 -> 1
27,1,11 -> 1
27,2,31 -> 1
27,3,23 -> 1
24,5,24 -> 1
25,5,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
24,6,24 -> 1
25,6,25 -> 1
26,6,26 -> 1
27,6,27 -> 1
24,7,24 -> 1
25,7,25 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,0,44 -> 1
28,1,12 -> 1
28,2,64 -> 1
28,3,24 -> 1
29,0,45 -> 1
29,1,13 -> 1
29,2,64 -> 1
29,3,25 -> 1
30,0,46 -> 1
30,1,14 -> 1
30,2,64 -> 1
30,3,26 -> 1
31,0,47 -> 1
31,1,15 -> 1
31,2,64 -> 1
31,3,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
30,5,30 -> 1
31,5,31 -> 1
28,6,28 -> 1
29,6,29 -> 1
30,6,30 -> 1
31,6,31 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,7,30 -> 1
31,7,31 -> 1
32,0,48 -> 1
32,1,16 -> 1
32,2,36 -> 1
32,3,32 -> 1
33,0,49 -> 1
33,1,17 -> 1
33,2,37 -> 1
33,3,33 -> 1
34,0,50 -> 1
34,1,18 -> 1
34,2,38 -> 1
34,3,34 -> 1
35,0,51 -> 1
35,1,19 -> 1
35,2,39 -> 1
35,3,35 -> 1
32,5,32 -> 1
33,5,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
32,6,32 -> 1
33,6,33 -> 1
34,6,34 -> 1
35,6,35 -> 1
32,7,32 -> 1
33,7,33 -> 1
34,7,34 -> 1
35,7,35 -> 1
36,0,52 -> 1
36,1,20 -> 1
36,2,40 -> 1
36,3,32 -> 1
37,0,53 -> 1
37,1,21 -> 1
37,2,41 -> 1
37,3,33 -> 1
38,0,54 -> 1
38,1,22 -> 1
38,2,42 -> 1
38,3,34 -> 1
39,0,55 -> 1
39,1,23 -> 1
39,2,43 -> 1
39,3,35 -> 1
36,5,36 -> 1
37,5,37 -> 1
38,5,38 -> 1
39,5,39 -> 1
36,6,36 -> 1
37,6,37 -> 1
38,6,38 -> 1
39,6,39 -> 1
36,7,36 -> 1
37,7,37 -> 1
38,7,38 -> 1
39,7,39 -> 1
40,0,56 -> 1
40,1,24 -> 1
40,2,44 -> 1
40,3,36 -> 1
41,0,57 -> 1
41,1,25 -> 1
41,2,45 -> 1
41,3,37 -> 1
42,0,58 -> 1
42,1,26 -> 1
42,2,46 -> 1
42,3,38 -> 1
43,0,59 -> 1
43,1,27 -> 1
43,2,47 -> 1
43,3,39 -> 1
40,5,40 -> 1
41,5,41 -> 1
42,5,42 -> 1
43,5,43 -> 1
40,6,40 -> 1
41,6,41 -> 1
42,6,42 -> 1
43,6,43 -> 1
40,7,40 -> 1
41,7,41 -> 1
42,7,42 -> 1
43,7,43 -> 1
44,0,60 -> 1
44,1,28 -> 1
44,2,64 -> 1
44,3,40 -> 1
45,0,61 -> 1
45,1,29 -> 1
45,2,64 -> 1
45,3,41 -> 1
46,0,62 -> 1
46,1,30 -> 1
46,2,64 -> 1
46,3,42 -> 1
47,0,63 -> 1
47,1,31 -> 1
