51, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s0.4-b, s0.4-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s1.4-b, s1.4-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s2.4-b, s2.4-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, s3.4-b, s3.4-g, s4.0-b, s4.0-g, s4.1-b, s4.1-g, s4.2-b, s4.2-g, s4.3-b, s4.3-g, s4.4-b, s4.4-g, exit]
1, [e1]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

0, []

# Transition function (s,a,s -> p)
0,0,10 -> 1
0,1,0 -> 1
0,2,2 -> 1
0,3,0 -> 1
1,0,11 -> 1
1,1,1 -> 1
1,2,3 -> 1
1,3,1 -> 1
0,5,0 -> 1
1,5,1 -> 1
0,6,0 -> 1
1,6,1 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,0,12 -> 1
2,1,2 -> 1
2,2,4 -> 1
2,3,0 -> 1
3,0,13 -> 1
3,1,3 -> 1
3,2,5 -> 1
3,3,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
2,6,2 -> 1
3,6,3 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,0,14 -> 1
4,1,4 -> 1
4,2,6 -> 1
4,3,2 -> 1
5,0,15 -> 1
5,1,5 -> 1
5,2,7 -> 1
5,3,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
4,6,4 -> 1
5,6,5 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,0,16 -> 1
6,1,6 -> 1
6,2,8 -> 1
6,3,4 -> 1
7,0,17 -> 1
7,1,7 -> 1
7,2,9 -> 1
7,3,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
6,6,6 -> 1
7,6,7 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,0,18 -> 1
8,1,8 -> 1
8,2,50 -> 1
8,3,6 -> 1
9,0,19 -> 1
9,1,9 -> 1
9,2,50 -> 1
9,3,7 -> 1
8,4,8 -> 1
9,4,8 -> 1
9,4,9 -> 0
8,5,8 -> 1
9,5,9 -> 1
8,6,8 -> 1
9,6,9 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,0,20 -> 1
10,1,0 -> 1
10,2,12 -> 1
10,3,10 -> 1
11,0,21 -> 1
11,1,1 -> 1
11,2,13 -> 1
11,3,11 -> 1
10,5,10 -> 1
11,5,11 -> 1
10,6,10 -> 1
11,6,11 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,0,22 -> 1
12,1,2 -> 1
12,2,14 -> 1
12,3,10 -> 1
13,0,23 -> 1
13,1,3 -> 1
13,2,15 -> 1
13,3,11 -> 1
12,4,12 -> 1
13,4,12 -> 0
13,4,13 -> 1
12,5,12 -> 1
13,5,13 -> 1
12,6,12 -> 1
13,6,13 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,0,24 -> 1
14,1,4 -> 1
14,2,16 -> 1
14,3,12 -> 1
15,0,25 -> 1
15,1,5 -> 1
15,2,17 -> 1
15,3,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
14,6,14 -> 1
15,6,15 -> 1
14,7,14 -> 1
15,7,15 -> 1
16,0,26 -> 1
16,1,6 -> 1
16,2,18 -> 1
16,3,14 -> 1
17,0,27 -> 1
17,1,7 -> 1
17,2,19 -> 1
17,3,15 -> 1
16,5,16 -> 1
17,5,17 -> 1
16,6,16 -> 1
17,6,17 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,0,28 -> 1
18,1,8 -> 1
18,2,50 -> 1
18,3,16 -> 1
19,0,29 -> 1
19,1,9 -> 1
19,2,50 -> 1
19,3,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
18,6,18 -> 1
19,6,19 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,0,30 -> 1
20,1,10 -> 1
20,2,22 -> 1
