17, [s0.0-b.b, s0.0-b.g, s0.0-g.b, s0.0-g.g, s0.1-b.b, s0.1-b.g, s0.1-g.b, s0.1-g.g, s1.0-b.b, s1.0-b.g, s1.0-g.b, s1.0-g.g, s1.1-b.b, s1.1-b.g, s1.1-g.b, s1.1-g.g, exit]
3, [e-ggb, e-gbg, e-bgg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

54, [pt_0.0, pt_0.1, pt_1.0, pt_1.1, pt_2.0, pt_2.1, po_0.00_0, po_0.00_1, po_0.00_2, po_0.01_0, po_0.01_1, po_0.01_2, po_0.10_0, po_0.10_1, po_0.10_2, po_0.11_0, po_0.11_1, po_0.11_2, po_1.00_0, po_1.00_1, po_1.00_2, po_1.01_0, po_1.01_1, po_1.01_2, po_1.10_0, po_1.10_1, po_1.10_2, po_1.11_0, po_1.11_1, po_1.11_2, po_2.00_0, po_2.00_1, po_2.00_2, po_2.01_0, po_2.01_1, po_2.01_2, po_2.10_0, po_2.10_1, po_2.10_2, po_2.11_0, po_2.11_1, po_2.11_2, r_0.00, r_0.01, r_0.10, r_0.11, r_1.00, r_1.01, r_1.10, r_1.11, r_2.00, r_2.01, r_2.10, r_2.11]
[1, 0, 0, 1, 0, 0, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, -10, -10, 10, 10, -10, 10, -10, 10, -10, -10, -10, -10]
[1, 0, 0, 0, 0, 1, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, -10, -10, 10, 10, -10, -10, -10, -10, -10, 10, -10, 10]
[0, 0, 1, 0, 0, 1, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, 0.25, 0.0, 0.312393, 0.75, 1.0, 0.687607, -10, -10, -10, -10, -10, -10, 10, 10, -10, 10, -10, 10]

# Transition function (s,a,s -> p)
0,0,8 -> 1
0,1,0 -> 1
0,2,4 -> 1
0,3,0 -> 1
1,0,9 -> 1
1,1,1 -> 1
1,2,5 -> 1
1,3,1 -> 1
2,0,10 -> 1
2,1,2 -> 1
2,2,6 -> 1
2,3,2 -> 1
3,0,11 -> 1
3,1,3 -> 1
3,2,7 -> 1
3,3,3 -> 1
0,5,0 -> 1
1,5,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
0,6,0 -> 1
1,6,1 -> 1
2,6,2 -> 1
3,6,3 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,0,12 -> 1
4,1,4 -> 1
4,2,16 -> 1
4,3,0 -> 1
5,0,13 -> 1
5,1,5 -> 1
5,2,16 -> 1
5,3,1 -> 1
6,0,14 -> 1
6,1,6 -> 1
6,2,16 -> 1
6,3,2 -> 1
7,0,15 -> 1
7,1,7 -> 1
7,2,16 -> 1
7,3,3 -> 1
4,4,4 -> 1
5,4,4 -> pt_0.1
5,4,5 -> 1-pt_0.1
6,4,4 -> pt_0.0
6,4,6 -> 1-pt_0.0
7,4,5 -> pt_0.0
7,4,4 -> pt_0.1
7,4,7 -> 1-pt_0.0-pt_0.1
4,5,4 -> 1
5,5,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
4,6,4 -> 1
5,6,5 -> 1
6,6,6 -> 1
7,6,7 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,0,8 -> 1
8,1,0 -> 1
8,2,12 -> 1
8,3,8 -> 1
9,0,9 -> 1
9,1,1 -> 1
9,2,13 -> 1
9,3,9 -> 1
10,0,10 -> 1
10,1,2 -> 1
10,2,14 -> 1
10,3,10 -> 1
11,0,11 -> 1
11,1,3 -> 1
11,2,15 -> 1
11,3,11 -> 1
8,4,8 -> 1
9,4,8 -> pt_1.1
9,4,9 -> 1-pt_1.1
10,4,8 -> pt_1.0
10,4,10 -> 1-pt_1.0
11,4,9 -> pt_1.0
11,4,8 -> pt_1.1
11,4,11 -> 1-pt_1.0-pt_1.1
8,5,8 -> 1
9,5,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
8,6,8 -> 1
9,6,9 -> 1
10,6,10 -> 1
11,6,11 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,0,12 -> 1
12,1,4 -> 1
12,2,16 -> 1
12,3,8 -> 1
13,0,13 -> 1
13,1,5 -> 1
13,2,16 -> 1
13,3,9 -> 1
14,0,14 -> 1
14,1,6 -> 1
14,2,16 -> 1
14,3,10 -> 1
15,0,15 -> 1
15,1,7 -> 1
15,2,16 -> 1
15,3,11 -> 1
12,4,12 -> 1
