33, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, exit]
3, [e-gbb, e-bgb, e-bbg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

69, [pt_0.0, pt_1.0, pt_2.0, po_0.0_0, po_0.0_1, po_0.0_2, po_0.0_3, po_0.0_4, po_0.0_5, po_0.0_6, po_0.0_7, po_0.0_8, po_0.0_9, po_0.1_0, po_0.1_1, po_0.1_2, po_0.1_3, po_0.1_4, po_0.1_5, po_0.1_6, po_0.1_7, po_0.1_8, po_0.1_9, po_1.0_0, po_1.0_1, po_1.0_2, po_1.0_3, po_1.0_4, po_1.0_5, po_1.0_6, po_1.0_7, po_1.0_8, po_1.0_9, po_1.1_0, po_1.1_1, po_1.1_2, po_1.1_3, po_1.1_4, po_1.1_5, po_1.1_6, po_1.1_7, po_1.1_8, po_1.1_9, po_2.0_0, po_2.0_1, po_2.0_2, po_2.0_3, po_2.0_4, po_2.0_5, po_2.0_6, po_2.0_7, po_2.0_8, po_2.0_9, po_2.1_0, po_2.1_1, po_2.1_2, po_2.1_3, po_2.1_4, po_2.1_5, po_2.1_6, po_2.1_7, po_2.1_8, po_2.1_9, r_0.0, r_0.1, r_1.0, r_1.1, r_2.0, r_2.1]
[1, 0, 0, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.676776, 0.75, 0.853554, 1.0, 0.667109, 0.73036, 0.806274, 0.643312, 0.687607, 0.614918, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, -10, 10, -10, -10, -10, -10]
[0, 1, 0, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.676776, 0.75, 0.853554, 1.0, 0.667109, 0.73036, 0.806274, 0.643312, 0.687607, 0.614918, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, -10, -10, -10, 10, -10, -10]
[0, 0, 1, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.323224, 0.25, 0.146446, 0.0, 0.332891, 0.26964, 0.193727, 0.356688, 0.312393, 0.385082, 0.676776, 0.75, 0.853554, 1.0, 0.667109, 0.73036, 0.806274, 0.643312, 0.687607, 0.614918, -10, -10, -10, -10, -10, 10]

# Transition function (s,a,s -> p)
0,0,8 -> 1
0,1,0 -> 1
0,2,2 -> 1
0,3,0 -> 1
1,0,9 -> 1
1,1,1 -> 1
1,2,3 -> 1
1,3,1 -> 1
0,5,0 -> 1
1,5,1 -> 1
0,6,0 -> 1
1,6,1 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,0,10 -> 1
2,1,2 -> 1
2,2,4 -> 1
2,3,0 -> 1
3,0,11 -> 1
3,1,3 -> 1
3,2,5 -> 1
3,3,1 -> 1
2,5,2 -> 1
3,5,3 -> 1
2,6,2 -> 1
3,6,3 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,0,12 -> 1
4,1,4 -> 1
4,2,6 -> 1
4,3,2 -> 1
5,0,13 -> 1
5,1,5 -> 1
5,2,7 -> 1
5,3,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
4,6,4 -> 1
5,6,5 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,0,14 -> 1
6,1,6 -> 1
6,2,32 -> 1
6,3,4 -> 1
7,0,15 -> 1
7,1,7 -> 1
7,2,32 -> 1
7,3,5 -> 1
6,4,6 -> 1
7,4,6 -> pt_0.0
7,4,7 -> 1-pt_0.0
6,5,6 -> 1
7,5,7 -> 1
6,6,6 -> 1
7,6,7 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,0,16 -> 1
8,1,0 -> 1
8,2,10 -> 1
8,3,8 -> 1
9,0,17 -> 1
9,1,1 -> 1
9,2,11 -> 1
9,3,9 -> 1
8,5,8 -> 1
9,5,9 -> 1
8,6,8 -> 1
9,6,9 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,0,18 -> 1
10,1,2 -> 1
10,2,12 -> 1
10,3,8 -> 1
11,0,19 -> 1
11,1,3 -> 1
11,2,13 -> 1
11,3,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
10,6,10 -> 1
11,6,11 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,0,20 -> 1
12,1,4 -> 1
12,2,14 -> 1
12,3,10 -> 1
13,0,21 -> 1
13,1,5 -> 1
13,2,15 -> 1
13,3,11 -> 1
12,5,12 -> 1
13,5,13 -> 1
12,6,12 -> 1
13,6,13 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,0,22 -> 1
14,1,6 -> 1
14,2,32 -> 1
14,3,12 -> 1
15,0,23 -> 1
15,1,7 -> 1
15,2,32 -> 1
15,3,13 -> 1
14,5,14 -> 1
15,5,15 -> 1
14,6,14 -> 1
15,6,15 -> 1
14,7,14 -> 1
15,7,15 -> 1
16,0,24 -> 1
16,1,8 -> 1
16,2,18 -> 1
16,3,16 -> 1
17,0,25 -> 1
17,1,9 -> 1
17,2,19 -> 1
17,3,17 -> 1
16,5,16 -> 1
17,5,17 -> 1
16,6,16 -> 1
17,6,17 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,0,26 -> 1
18,1,10 -> 1
18,2,20 -> 1
18,3,16 -> 1
19,0,27 -> 1
19,1,11 -> 1
19,2,21 -> 1
19,3,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
18,6,18 -> 1
19,6,19 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,0,28 -> 1
20,1,12 -> 1
20,2,22 -> 1
20,3,18 -> 1
21,0,29 -> 1
21,1,13 -> 1
21,2,23 -> 1
21,3,19 -> 1
20,5,20 -> 1
21,5,21 -> 1
20,6,20 -> 1
21,6,21 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,0,30 -> 1
22,1,14 -> 1
22,2,32 -> 1
22,3,20 -> 1
23,0,31 -> 1
23,1,15 -> 1
23,2,32 -> 1
23,3,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
22,6,22 -> 1
23,6,23 -> 1
22,7,22 -> 1
23,7,23 -> 1
24,0,24 -> 1
24,1,16 -> 1
24,2,26 -> 1
24,3,24 -> 1
25,0,25 -> 1
25,1,17 -> 1
25,2,27 -> 1
25,3,25 -> 1
