73, [s0.0-b, s0.0-g, s0.1-b, s0.1-g, s0.2-b, s0.2-g, s0.3-b, s0.3-g, s0.4-b, s0.4-g, s0.5-b, s0.5-g, s1.0-b, s1.0-g, s1.1-b, s1.1-g, s1.2-b, s1.2-g, s1.3-b, s1.3-g, s1.4-b, s1.4-g, s1.5-b, s1.5-g, s2.0-b, s2.0-g, s2.1-b, s2.1-g, s2.2-b, s2.2-g, s2.3-b, s2.3-g, s2.4-b, s2.4-g, s2.5-b, s2.5-g, s3.0-b, s3.0-g, s3.1-b, s3.1-g, s3.2-b, s3.2-g, s3.3-b, s3.3-g, s3.4-b, s3.4-g, s3.5-b, s3.5-g, s4.0-b, s4.0-g, s4.1-b, s4.1-g, s4.2-b, s4.2-g, s4.3-b, s4.3-g, s4.4-b, s4.4-g, s4.5-b, s4.5-g, s5.0-b, s5.0-g, s5.1-b, s5.1-g, s5.2-b, s5.2-g, s5.3-b, s5.3-g, s5.4-b, s5.4-g, s5.5-b, s5.5-g, exit]
3, [e-gbb, e-bgb, e-bbg]
8, [North, South, East, West, Sample, Check0, Check1, Check2]
3, [Bad, Good, Nothing]

123, [pt_0.0, pt_1.0, pt_2.0, po_0.0_0, po_0.0_1, po_0.0_2, po_0.0_3, po_0.0_4, po_0.0_5, po_0.0_6, po_0.0_7, po_0.0_8, po_0.0_9, po_0.0_10, po_0.0_11, po_0.0_12, po_0.0_13, po_0.0_14, po_0.0_15, po_0.0_16, po_0.0_17, po_0.0_18, po_0.1_0, po_0.1_1, po_0.1_2, po_0.1_3, po_0.1_4, po_0.1_5, po_0.1_6, po_0.1_7, po_0.1_8, po_0.1_9, po_0.1_10, po_0.1_11, po_0.1_12, po_0.1_13, po_0.1_14, po_0.1_15, po_0.1_16, po_0.1_17, po_0.1_18, po_1.0_0, po_1.0_1, po_1.0_2, po_1.0_3, po_1.0_4, po_1.0_5, po_1.0_6, po_1.0_7, po_1.0_8, po_1.0_9, po_1.0_10, po_1.0_11, po_1.0_12, po_1.0_13, po_1.0_14, po_1.0_15, po_1.0_16, po_1.0_17, po_1.0_18, po_1.1_0, po_1.1_1, po_1.1_2, po_1.1_3, po_1.1_4, po_1.1_5, po_1.1_6, po_1.1_7, po_1.1_8, po_1.1_9, po_1.1_10, po_1.1_11, po_1.1_12, po_1.1_13, po_1.1_14, po_1.1_15, po_1.1_16, po_1.1_17, po_1.1_18, po_2.0_0, po_2.0_1, po_2.0_2, po_2.0_3, po_2.0_4, po_2.0_5, po_2.0_6, po_2.0_7, po_2.0_8, po_2.0_9, po_2.0_10, po_2.0_11, po_2.0_12, po_2.0_13, po_2.0_14, po_2.0_15, po_2.0_16, po_2.0_17, po_2.0_18, po_2.1_0, po_2.1_1, po_2.1_2, po_2.1_3, po_2.1_4, po_2.1_5, po_2.1_6, po_2.1_7, po_2.1_8, po_2.1_9, po_2.1_10, po_2.1_11, po_2.1_12, po_2.1_13, po_2.1_14, po_2.1_15, po_2.1_16, po_2.1_17, po_2.1_18, r_0.0, r_0.1, r_1.0, r_1.1, r_2.0, r_2.1]
[1, 0, 0, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.89685, 1.0, 0.81498, 0.75, 0.698425, 0.860631, 0.79826, 0.7408, 0.69286, 0.76011, 0.717358, 0.677918, 0.687607, 0.65749, 0.635314, 0.653928, 0.64408, 0.629979, 0.613883, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, -10, 10, -10, -10, -10, -10]
[0, 1, 0, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.89685, 1.0, 0.81498, 0.75, 0.698425, 0.860631, 0.79826, 0.7408, 0.69286, 0.76011, 0.717358, 0.677918, 0.687607, 0.65749, 0.635314, 0.653928, 0.64408, 0.629979, 0.613883, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, -10, -10, -10, 10, -10, -10]
[0, 0, 1, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.10315, 0.0, 0.18502, 0.25, 0.301575, 0.139369, 0.201739, 0.2592, 0.30714, 0.23989, 0.282642, 0.322082, 0.312393, 0.34251, 0.364686, 0.346072, 0.355919, 0.370021, 0.386117, 0.89685, 1.0, 0.81498, 0.75, 0.698425, 0.860631, 0.79826, 0.7408, 0.69286, 0.76011, 0.717358, 0.677918, 0.687607, 0.65749, 0.635314, 0.653928, 0.64408, 0.629979, 0.613883, -10, -10, -10, -10, -10, 10]

# Transition function (s,a,s -> p)
0,0,12 -> 1
0,1,0 -> 1
0,2,2 -> 1
0,3,0 -> 1
1,0,13 -> 1
1,1,1 -> 1
1,2,3 -> 1
1,3,1 -> 1
0,5,0 -> 1
1,5,1 -> 1
0,6,0 -> 1
1,6,1 -> 1
0,7,0 -> 1
1,7,1 -> 1
2,0,14 -> 1
2,1,2 -> 1
2,2,4 -> 1
2,3,0 -> 1
3,0,15 -> 1
3,1,3 -> 1
3,2,5 -> 1
3,3,1 -> 1
2,4,2 -> 1
3,4,2 -> pt_0.0
3,4,3 -> 1-pt_0.0
2,5,2 -> 1
3,5,3 -> 1
2,6,2 -> 1
3,6,3 -> 1
2,7,2 -> 1
3,7,3 -> 1
4,0,16 -> 1
4,1,4 -> 1
4,2,6 -> 1
4,3,2 -> 1
5,0,17 -> 1
5,1,5 -> 1
5,2,7 -> 1
5,3,3 -> 1
4,5,4 -> 1
5,5,5 -> 1
4,6,4 -> 1
5,6,5 -> 1
4,7,4 -> 1
5,7,5 -> 1
6,0,18 -> 1
6,1,6 -> 1
6,2,8 -> 1
6,3,4 -> 1
7,0,19 -> 1
7,1,7 -> 1
7,2,9 -> 1
7,3,5 -> 1
6,5,6 -> 1
7,5,7 -> 1
6,6,6 -> 1
7,6,7 -> 1
6,7,6 -> 1
7,7,7 -> 1
8,0,20 -> 1
8,1,8 -> 1
8,2,10 -> 1
8,3,6 -> 1
9,0,21 -> 1
9,1,9 -> 1
9,2,11 -> 1
9,3,7 -> 1
8,5,8 -> 1
9,5,9 -> 1
8,6,8 -> 1
9,6,9 -> 1
8,7,8 -> 1
9,7,9 -> 1
10,0,22 -> 1
10,1,10 -> 1
10,2,72 -> 1
10,3,8 -> 1
11,0,23 -> 1
11,1,11 -> 1
11,2,72 -> 1
11,3,9 -> 1
10,5,10 -> 1
11,5,11 -> 1
10,6,10 -> 1
11,6,11 -> 1
10,7,10 -> 1
11,7,11 -> 1
12,0,24 -> 1
12,1,0 -> 1
12,2,14 -> 1
12,3,12 -> 1
13,0,25 -> 1
13,1,1 -> 1
13,2,15 -> 1
13,3,13 -> 1
12,4,12 -> 1
13,4,12 -> pt_1.0
13,4,13 -> 1-pt_1.0
12,5,12 -> 1
13,5,13 -> 1
12,6,12 -> 1
13,6,13 -> 1
12,7,12 -> 1
13,7,13 -> 1
14,0,26 -> 1
14,1,2 -> 1
14,2,16 -> 1
14,3,12 -> 1
15,0,27 -> 1
15,1,3 -> 1
15,2,17 -> 1
15,3,13 -> 1
14,4,14 -> 1
15,4,14 -> pt_2.0
15,4,15 -> 1-pt_2.0
14,5,14 -> 1
15,5,15 -> 1
14,6,14 -> 1
15,6,15 -> 1
14,7,14 -> 1
15,7,15 -> 1
16,0,28 -> 1
16,1,4 -> 1
16,2,18 -> 1
16,3,14 -> 1
17,0,29 -> 1
17,1,5 -> 1
17,2,19 -> 1
17,3,15 -> 1
16,5,16 -> 1
17,5,17 -> 1
16,6,16 -> 1
17,6,17 -> 1
16,7,16 -> 1
17,7,17 -> 1
18,0,30 -> 1
18,1,6 -> 1
18,2,20 -> 1
18,3,16 -> 1
19,0,31 -> 1
19,1,7 -> 1
19,2,21 -> 1
19,3,17 -> 1
18,5,18 -> 1
19,5,19 -> 1
18,6,18 -> 1
19,6,19 -> 1
18,7,18 -> 1
19,7,19 -> 1
20,0,32 -> 1
20,1,8 -> 1
20,2,22 -> 1
20,3,18 -> 1
21,0,33 -> 1
21,1,9 -> 1
21,2,23 -> 1
21,3,19 -> 1
20,5,20 -> 1
21,5,21 -> 1
20,6,20 -> 1
21,6,21 -> 1
20,7,20 -> 1
21,7,21 -> 1
22,0,34 -> 1
22,1,10 -> 1
22,2,72 -> 1
22,3,20 -> 1
23,0,35 -> 1
23,1,11 -> 1
23,2,72 -> 1
23,3,21 -> 1
22,5,22 -> 1
23,5,23 -> 1
22,6,22 -> 1
23,6,23 -> 1
22,7,22 -> 1
23,7,23 -> 1
24,0,36 -> 1
24,1,12 -> 1
24,2,26 -> 1
24,3,24 -> 1
25,0,37 -> 1
25,1,13 -> 1
25,2,27 -> 1
25,3,25 -> 1
24,5,24 -> 1
25,5,25 -> 1
24,6,24 -> 1
25,6,25 -> 1
24,7,24 -> 1
25,7,25 -> 1
26,0,38 -> 1
26,1,14 -> 1
26,2,28 -> 1
26,3,24 -> 1
27,0,39 -> 1
27,1,15 -> 1
27,2,29 -> 1
27,3,25 -> 1
26,5,26 -> 1
27,5,27 -> 1
26,6,26 -> 1
27,6,27 -> 1
26,7,26 -> 1
27,7,27 -> 1
28,0,40 -> 1
28,1,16 -> 1
28,2,30 -> 1
28,3,26 -> 1
29,0,41 -> 1
29,1,17 -> 1
29,2,31 -> 1
29,3,27 -> 1
28,5,28 -> 1
29,5,29 -> 1
28,6,28 -> 1
29,6,29 -> 1
28,7,28 -> 1
29,7,29 -> 1
30,0,42 -> 1
30,1,18 -> 1
30,2,32 -> 1
30,3,28 -> 1
31,0,43 -> 1
31,1,19 -> 1
31,2,33 -> 1
31,3,29 -> 1
30,5,30 -> 1
31,5,31 -> 1
30,6,30 -> 1
31,6,31 -> 1
30,7,30 -> 1
31,7,31 -> 1
32,0,44 -> 1
32,1,20 -> 1
32,2,34 -> 1
32,3,30 -> 1
33,0,45 -> 1
33,1,21 -> 1
33,2,35 -> 1
33,3,31 -> 1
32,5,32 -> 1
33,5,33 -> 1
32,6,32 -> 1
33,6,33 -> 1
32,7,32 -> 1
33,7,33 -> 1
34,0,46 -> 1
34,1,22 -> 1
34,2,72 -> 1
34,3,32 -> 1
35,0,47 -> 1
35,1,23 -> 1
35,2,72 -> 1
35,3,33 -> 1
34,5,34 -> 1
35,5,35 -> 1
34,6,34 -> 1
35,6,35 -> 1
34,7,34 -> 1
35,7,35 -> 1
36,0,48 -> 1
36,1,24 -> 1
36,2,38 -> 1
36,3,36 -> 1
37,0,49 -> 1
37,1,25 -> 1
37,2,39 -> 1
37,3,37 -> 1
36,5,36 -> 1
37,5,37 -> 1
36,6,36 -> 1
37,6,37 -> 1
36,7,36 -> 1
37,7,37 -> 1
38,0,50 -> 1
38,1,26 -> 1
38,2,40 -> 1
38,3,36 -> 1
39,0,51 -> 1
39,1,27 -> 1
39,2,41 -> 1
39,3,37 -> 1
38,5,38 -> 1
39,5,39 -> 1
38,6,38 -> 1
39,6,39 -> 1
38,7,38 -> 1
39,7,39 -> 1
40,0,52 -> 1
40,1,28 -> 1
40,2,42 -> 1
40,3,38 -> 1
41,0,53 -> 1
41,1,29 -> 1
41,2,43 -> 1
41,3,39 -> 1
40,5,40 -> 1
41,5,41 -> 1
40,6,40 -> 1
41,6,41 -> 1
40,7,40 -> 1
41,7,41 -> 1
42,0,54 -> 1
42,1,30 -> 1
42,2,44 -> 1
42,3,40 -> 1
43,0,55 -> 1
43,1,31 -> 1
43,2,45 -> 1
43,3,41 -> 1
42,5,42 -> 1
43,5,43 -> 1
42,6,42 -> 1
43,6,43 -> 1
42,7,42 -> 1
43,7,43 -> 1
44,0,56 -> 1
44,1,32 -> 1
44,2,46 -> 1
44,3,42 -> 1
45,0,57 -> 1
45,1,33 -> 1
45,2,47 -> 1
45,3,43 -> 1
44,5,44 -> 1
45,5,45 -> 1
44,6,44 -> 1
45,6,45 -> 1
44,7,44 -> 1
